pokedex_number,name,abilities,weight_kg,height_m,type1,type2,generation,is_legendary,hp,attack,defense,sp_attack,sp_defense,speed,base_total,capture_rate,classfication,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
91,Cloyster,"['Shell Armor', 'Skill Link', 'Overcoat']",132.5,1.5,water,ice,1,0,50,95,180,85,45,70,525,60.0,Bivalve Pokémon,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
92,Gastly,['Levitate'],0.1,1.3,ghost,poison,1,0,30,35,30,100,35,80,310,190.0,Gas Pokémon,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
93,Haunter,['Levitate'],0.1,1.6,ghost,poison,1,0,45,50,45,115,55,95,405,90.0,Gas Pokémon,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
94,Gengar,['Cursed Body'],40.5,1.5,ghost,poison,1,0,60,65,80,170,95,130,600,45.0,Shadow Pokémon,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
95,Onix,"['Rock Head', 'Sturdy', 'Weak Armor']",210.0,8.8,rock,ground,1,0,35,45,160,30,45,70,385,45.0,Rock Snake Pokémon,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
96,Drowzee,"['Insomnia', 'Forewarn', 'Inner Focus']",32.4,1.0,psychic,,1,0,60,48,45,43,90,42,328,190.0,Hypnosis Pokémon,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
97,Hypno,"['Insomnia', 'Forewarn', 'Inner Focus']",75.6,1.6,psychic,,1,0,85,73,70,73,115,67,483,75.0,Hypnosis Pokémon,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
98,Krabby,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",6.5,0.4,water,,1,0,30,105,90,25,25,50,325,225.0,River Crab Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
99,Kingler,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",60.0,1.3,water,,1,0,55,130,115,50,50,75,475,60.0,Pincer Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
100,Voltorb,"['Soundproof', 'Static', 'Aftermath']",10.4,0.5,electric,,1,0,40,30,50,55,55,100,330,190.0,Ball Pokémon,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
101,Electrode,"['Soundproof', 'Static', 'Aftermath']",66.6,1.2,electric,,1,0,60,50,70,80,80,150,490,60.0,Ball Pokémon,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
102,Exeggcute,"['Chlorophyll', 'Harvest']",2.5,0.4,grass,psychic,1,0,60,40,80,60,45,40,325,90.0,Egg Pokémon,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5
103,Exeggutor,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",,,grass,psychic,1,0,95,105,85,125,75,45,530,45.0,Coconut Pokémon,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5
104,Cubone,"['Rock Head', 'Lightningrod', 'Battle Armor']",6.5,0.4,ground,,1,0,50,50,95,40,50,35,320,190.0,Lonely Pokémon,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
105,Marowak,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",,,ground,fire,1,0,60,80,110,50,80,45,425,75.0,Bone Keeper Pokémon,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
106,Hitmonlee,"['Limber', 'Reckless', 'Unburden']",49.8,1.5,fighting,,1,0,50,120,53,35,110,87,455,45.0,Kicking Pokémon,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
107,Hitmonchan,"['Keen Eye', 'Iron Fist', 'Inner Focus']",50.2,1.4,fighting,,1,0,50,105,79,35,110,76,455,45.0,Punching Pokémon,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
108,Lickitung,"['Own Tempo', 'Oblivious', 'Cloud Nine']",65.5,1.2,normal,,1,0,90,55,75,60,75,30,385,45.0,Licking Pokémon,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
109,Koffing,['Levitate'],1.0,0.6,poison,,1,0,40,65,95,60,45,35,340,190.0,Poison Gas Pokémon,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
110,Weezing,['Levitate'],9.5,1.2,poison,,1,0,65,90,120,85,70,60,490,60.0,Poison Gas Pokémon,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
111,Rhyhorn,"['Lightningrod', 'Rock Head', 'Reckless']",115.0,1.0,ground,rock,1,0,80,85,95,30,30,25,345,120.0,Spikes Pokémon,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
112,Rhydon,"['Lightningrod', 'Rock Head', 'Reckless']",120.0,1.9,ground,rock,1,0,105,130,120,45,45,40,485,60.0,Drill Pokémon,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
113,Chansey,"['Natural Cure', 'Serene Grace', 'Healer']",34.6,1.1,normal,,1,0,250,5,5,35,105,50,450,30.0,Egg Pokémon,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
114,Tangela,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",35.0,1.0,grass,,1,0,65,55,115,100,40,60,435,45.0,Vine Pokémon,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
115,Kangaskhan,"['Early Bird', 'Scrappy', 'Inner Focus']",80.0,2.2,normal,,1,0,105,125,100,60,100,100,590,45.0,Parent Pokémon,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
116,Horsea,"['Swift Swim', 'Sniper', 'Damp']",8.0,0.4,water,,1,0,30,40,70,70,25,60,295,225.0,Dragon Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
117,Seadra,"['Poison Point', 'Sniper', 'Damp']",25.0,1.2,water,,1,0,55,65,95,95,45,85,440,75.0,Dragon Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
118,Goldeen,"['Swift Swim', 'Water Veil', 'Lightningrod']",15.0,0.6,water,,1,0,45,67,60,35,50,63,320,225.0,Goldfish Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
119,Seaking,"['Swift Swim', 'Water Veil', 'Lightningrod']",39.0,1.3,water,,1,0,80,92,65,65,80,68,450,60.0,Goldfish Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
120,Staryu,"['Illuminate', 'Natural Cure', 'Analytic']",34.5,0.8,water,,1,0,30,45,55,70,55,85,340,225.0,Starshape Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
121,Starmie,"['Illuminate', 'Natural Cure', 'Analytic']",80.0,1.1,water,psychic,1,0,60,75,85,100,85,115,520,60.0,Mysterious Pokémon,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
122,Mr. Mime,"['Soundproof', 'Filter', 'Technician']",54.5,1.3,psychic,fairy,1,0,40,45,65,100,120,90,460,45.0,Barrier Pokémon,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
123,Scyther,"['Swarm', 'Technician', 'Steadfast']",56.0,1.5,bug,flying,1,0,70,110,80,55,80,105,500,45.0,Mantis Pokémon,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
124,Jynx,"['Oblivious', 'Forewarn', 'Dry Skin']",40.6,1.4,ice,psychic,1,0,65,50,35,115,95,95,455,45.0,Humanshape Pokémon,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0
125,Electabuzz,"['Static', 'Vital Spirit']",30.0,1.1,electric,,1,0,65,83,57,95,85,105,490,45.0,Electric Pokémon,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
126,Magmar,"['Flame Body', 'Vital Spirit']",44.5,1.3,fire,,1,0,65,95,57,100,85,93,495,45.0,Spitfire Pokémon,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
127,Pinsir,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",55.0,1.5,bug,,1,0,65,155,120,65,90,105,600,45.0,Stagbeetle Pokémon,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
128,Tauros,"['Intimidate', 'Anger Point', 'Sheer Force']",88.4,1.4,normal,,1,0,75,100,95,40,70,110,490,45.0,Wild Bull Pokémon,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
129,Magikarp,"['Swift Swim', 'Rattled']",10.0,0.9,water,,1,0,20,10,55,15,20,80,200,255.0,Fish Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
130,Gyarados,"['Intimidate', 'Moxie']",235.0,6.5,water,flying,1,0,95,155,109,70,130,81,640,45.0,Atrocious Pokémon,0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
131,Lapras,"['Water Absorb', 'Shell Armor', 'Hydration']",220.0,2.5,water,ice,1,0,130,85,80,85,95,60,535,45.0,Transport Pokémon,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
132,Ditto,"['Limber', 'Imposter']",4.0,0.3,normal,,1,0,48,48,48,48,48,48,288,35.0,Transform Pokémon,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
133,Eevee,"['Run Away', 'Adaptability', 'Anticipation']",6.5,0.3,normal,,1,0,55,55,50,45,65,55,325,45.0,Evolution Pokémon,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
134,Vaporeon,"['Water Absorb', 'Hydration']",29.0,1.0,water,,1,0,130,65,60,110,95,65,525,45.0,Bubble Jet Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
135,Jolteon,"['Volt Absorb', 'Quick Feet']",24.5,0.8,electric,,1,0,65,65,60,110,95,130,525,45.0,Lightning Pokémon,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
136,Flareon,"['Flash Fire', 'Guts']",25.0,0.9,fire,,1,0,65,130,60,95,110,65,525,45.0,Flame Pokémon,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
137,Porygon,"['Trace', 'Download', 'Analytic']",36.5,0.8,normal,,1,0,65,60,70,85,75,40,395,45.0,Virtual Pokémon,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
138,Omanyte,"['Swift Swim', 'Shell Armor', 'Weak Armor']",7.5,0.4,rock,water,1,0,35,40,100,90,55,35,355,45.0,Spiral Pokémon,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
139,Omastar,"['Swift Swim', 'Shell Armor', 'Weak Armor']",35.0,1.0,rock,water,1,0,70,60,125,115,70,55,495,45.0,Spiral Pokémon,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
140,Kabuto,"['Swift Swim', 'Battle Armor', 'Weak Armor']",11.5,0.5,rock,water,1,0,30,80,90,55,45,55,355,45.0,Shellfish Pokémon,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
141,Kabutops,"['Swift Swim', 'Battle Armor', 'Weak Armor']",40.5,1.3,rock,water,1,0,60,115,105,65,70,80,495,45.0,Shellfish Pokémon,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
142,Aerodactyl,"['Rock Head', 'Pressure', 'Unnerve']",59.0,1.8,rock,flying,1,0,80,135,85,70,95,150,615,45.0,Fossil Pokémon,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0
143,Snorlax,"['Immunity', 'Thick Fat', 'Gluttony']",460.0,2.1,normal,,1,0,160,110,65,65,110,30,540,25.0,Sleeping Pokémon,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
144,Articuno,"['Pressure', 'Snow Cloak']",55.4,1.7,ice,flying,1,1,90,85,100,95,125,85,580,3.0,Freeze Pokémon,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0
145,Zapdos,"['Pressure', 'Static']",52.6,1.6,electric,flying,1,1,90,90,85,125,90,100,580,3.0,Electric Pokémon,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0
146,Moltres,"['Pressure', 'Flame Body']",60.0,2.0,fire,flying,1,1,90,100,90,125,85,90,580,3.0,Flame Pokémon,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
147,Dratini,"['Shed Skin', 'Marvel Scale']",3.3,1.8,dragon,,1,0,41,64,45,50,50,50,300,45.0,Dragon Pokémon,1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5
148,Dragonair,"['Shed Skin', 'Marvel Scale']",16.5,4.0,dragon,,1,0,61,84,65,70,70,70,420,45.0,Dragon Pokémon,1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5
149,Dragonite,"['Inner Focus', 'Multiscale']",210.0,2.2,dragon,flying,1,0,91,134,95,100,100,80,600,45.0,Dragon Pokémon,0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5
150,Mewtwo,"['Pressure', 'Unnerve']",122.0,2.0,psychic,,1,1,106,150,70,194,120,140,780,3.0,Genetic Pokémon,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
151,Mew,['Synchronize'],4.0,0.4,psychic,,1,1,100,100,100,100,100,100,600,45.0,New Species Pokémon,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
152,Chikorita,"['Overgrow', 'Leaf Guard']",6.4,0.9,grass,,2,0,45,49,65,49,65,45,318,45.0,Leaf Pokémon,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
153,Bayleef,"['Overgrow', 'Leaf Guard']",15.8,1.2,grass,,2,0,60,62,80,63,80,60,405,45.0,Leaf Pokémon,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
154,Meganium,"['Overgrow', 'Leaf Guard']",100.5,1.8,grass,,2,0,80,82,100,83,100,80,525,45.0,Herb Pokémon,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
155,Cyndaquil,"['Blaze', 'Flash Fire']",7.9,0.5,fire,,2,0,39,52,43,60,50,65,309,45.0,Fire Mouse Pokémon,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
156,Quilava,"['Blaze', 'Flash Fire']",19.0,0.9,fire,,2,0,58,64,58,80,65,80,405,45.0,Volcano Pokémon,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
157,Typhlosion,"['Blaze', 'Flash Fire']",79.5,1.7,fire,,2,0,78,84,78,109,85,100,534,45.0,Volcano Pokémon,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
158,Totodile,"['Torrent', 'Sheer Force']",9.5,0.6,water,,2,0,50,65,64,44,48,43,314,45.0,Big Jaw Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
159,Croconaw,"['Torrent', 'Sheer Force']",25.0,1.1,water,,2,0,65,80,80,59,63,58,405,45.0,Big Jaw Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
160,Feraligatr,"['Torrent', 'Sheer Force']",88.8,2.3,water,,2,0,85,105,100,79,83,78,530,45.0,Big Jaw Pokémon,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
161,Sentret,"['Run Away', 'Keen Eye', 'Frisk']",6.0,0.8,normal,,2,0,35,46,34,35,45,20,215,255.0,Scout Pokémon,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
162,Furret,"['Run Away', 'Keen Eye', 'Frisk']",32.5,1.8,normal,,2,0,85,76,64,45,55,90,415,90.0,Long Body Pokémon,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
163,Hoothoot,"['Insomnia', 'Keen Eye', 'Tinted Lens']",21.2,0.7,normal,flying,2,0,60,30,30,36,56,50,262,255.0,Owl Pokémon,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
164,Noctowl,"['Insomnia', 'Keen Eye', 'Tinted Lens']",40.8,1.6,normal,flying,2,0,100,50,50,86,96,70,452,90.0,Owl Pokémon,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
165,Ledyba,"['Swarm', 'Early Bird', 'Rattled']",10.8,1.0,bug,flying,2,0,40,20,30,40,80,55,265,255.0,Five Star Pokémon,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
166,Ledian,"['Swarm', 'Early Bird', 'Iron Fist']",35.6,1.4,bug,flying,2,0,55,35,50,55,110,85,390,90.0,Five Star Pokémon,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
167,Spinarak,"['Swarm', 'Insomnia', 'Sniper']",8.5,0.5,bug,poison,2,0,40,60,40,40,40,30,250,255.0,String Spit Pokémon,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
168,Ariados,"['Swarm', 'Insomnia', 'Sniper']",33.5,1.1,bug,poison,2,0,70,90,70,60,70,40,400,90.0,Long Leg Pokémon,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
169,Crobat,"['Inner Focus', 'Infiltrator']",75.0,1.8,poison,flying,2,0,85,90,80,70,80,130,535,90.0,Bat Pokémon,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
170,Chinchou,"['Volt Absorb', 'Illuminate', 'Water Absorb']",12.0,0.5,water,electric,2,0,75,38,38,56,56,67,330,190.0,Angler Pokémon,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5
171,Lanturn,"['Volt Absorb', 'Illuminate', 'Water Absorb']",22.5,1.2,water,electric,2,0,125,58,58,76,76,67,460,75.0,Light Pokémon,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5
172,Pichu,"['Static', 'Lightningrod']",2.0,0.3,electric,,2,0,20,40,15,35,35,60,205,190.0,Tiny Mouse Pokémon,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
173,Cleffa,"['Cute Charm', 'Magic Guard', 'Friend Guard']",3.0,0.3,fairy,,2,0,50,25,28,45,55,15,218,150.0,Star Shape Pokémon,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
174,Igglybuff,"['Cute Charm', 'Competitive', 'Friend Guard']",1.0,0.3,normal,fairy,2,0,90,30,15,40,20,15,210,170.0,Balloon Pokémon,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
175,Togepi,"['Hustle', 'Serene Grace', 'Super Luck']",1.5,0.3,fairy,,2,0,35,20,65,40,65,20,245,190.0,Spike Ball Pokémon,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
176,Togetic,"['Hustle', 'Serene Grace', 'Super Luck']",3.2,0.6,fairy,flying,2,0,55,40,85,80,105,40,405,75.0,Happiness Pokémon,0.25,0.5,0.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
177,Natu,"['Synchronize', 'Early Bird', 'Magic Bounce']",2.0,0.2,psychic,flying,2,0,40,50,45,70,45,70,320,190.0,Little Bird Pokémon,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0
178,Xatu,"['Synchronize', 'Early Bird', 'Magic Bounce']",15.0,1.5,psychic,flying,2,0,65,75,70,95,70,95,470,75.0,Mystic Pokémon,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0
179,Mareep,"['Static', 'Plus']",7.8,0.6,electric,,2,0,55,40,40,65,45,35,280,235.0,Wool Pokémon,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
180,Flaaffy,"['Static', 'Plus']",13.3,0.8,electric,,2,0,70,55,55,80,60,45,365,120.0,Wool Pokémon,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
181,Ampharos,"['Static', 'Plus']",61.5,1.4,electric,,2,0,90,95,105,165,110,45,610,45.0,Light Pokémon,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
182,Bellossom,"['Chlorophyll', 'Healer']",5.8,0.4,grass,,2,0,75,80,95,90,100,50,490,45.0,Flower Pokémon,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
183,Marill,"['Thick Fat', 'Huge Power', 'Sap Sipper']",8.5,0.4,water,fairy,2,0,70,20,50,20,50,40,250,190.0,Aquamouse Pokémon,0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
184,Azumarill,"['Thick Fat', 'Huge Power', 'Sap Sipper']",28.5,0.8,water,fairy,2,0,100,50,80,60,80,50,420,75.0,Aquarabbit Pokémon,0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
